session_idx,user_id_hash,start_utc,duration_min,event_count,distinct_workflows,analytical_workflows,workflows_invoked
26,37a8eec1,2026-02-21T22:08:33.130261+00:00,11.1,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
27,37a8eec1,2026-02-22T20:41:11.213559+00:00,11.2,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
28,37a8eec1,2026-02-22T23:02:25.741675+00:00,28.4,47,8,4,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep perf-audit
29,37a8eec1,2026-02-23T03:52:04.112077+00:00,27.8,74,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
30,37a8eec1,2026-02-23T06:31:29.645795+00:00,12.3,46,6,3,security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review bug-predict dependency-check security-audit code-review test-gen code-review dependency-check document-manager
31,37a8eec1,2026-02-23T18:46:41.504095+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
32,37a8eec1,2026-02-23T19:30:25.102550+00:00,60.8,127,7,3,security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review test-gen security-audit code-review security-audit code-review dependency-check document-manager security-audit code-review security-audit code-review security-audit code-review bug-predict security-audit code-review bug-predict security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
33,37a8eec1,2026-02-23T22:29:11.472995+00:00,27.8,62,6,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check
34,37a8eec1,2026-02-24T00:41:24.975630+00:00,42.6,74,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
35,37a8eec1,2026-02-24T04:56:08.966252+00:00,28.2,39,6,3,code-review security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check
36,37a8eec1,2026-02-24T12:15:41.817234+00:00,10.6,17,4,2,code-review security-audit dependency-check release-prep
37,37a8eec1,2026-02-24T12:58:13.839387+00:00,12.4,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
38,37a8eec1,2026-02-24T16:48:23.615077+00:00,11.9,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
39,37a8eec1,2026-02-24T17:36:13.475745+00:00,11.1,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
40,37a8eec1,2026-02-24T18:54:58.303479+00:00,41.5,108,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check
41,37a8eec1,2026-02-24T23:01:48.539656+00:00,73.6,79,8,4,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep perf-audit security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
42,37a8eec1,2026-02-25T04:41:34.888903+00:00,10.2,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
43,37a8eec1,2026-02-25T08:40:31.985217+00:00,3.8,14,5,2,security-audit code-review test-gen code-review dependency-check document-manager
44,37a8eec1,2026-02-25T09:41:10.307137+00:00,11.2,33,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
45,37a8eec1,2026-02-25T21:38:35.515193+00:00,16.9,24,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
46,37a8eec1,2026-02-27T14:08:26.112207+00:00,28.6,47,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review document-manager
47,37a8eec1,2026-02-28T06:13:26.071335+00:00,0.9,11,3,1,test-gen code-review document-manager
48,37a8eec1,2026-02-28T06:51:23.644711+00:00,14.4,33,3,1,test-gen code-review document-manager test-gen code-review document-manager test-gen code-review document-manager
49,37a8eec1,2026-02-28T08:02:07.419156+00:00,18.5,33,3,1,test-gen code-review document-manager test-gen code-review document-manager test-gen code-review document-manager
50,37a8eec1,2026-02-28T17:01:30.556054+00:00,3.9,22,3,1,test-gen code-review document-manager test-gen code-review document-manager
51,37a8eec1,2026-02-28T17:54:07.908449+00:00,0.8,11,3,1,test-gen code-review document-manager
52,37a8eec1,2026-02-28T19:36:10.053872+00:00,8.2,22,3,1,test-gen code-review document-manager test-gen code-review document-manager
53,37a8eec1,2026-02-28T21:09:01.431578+00:00,42.9,55,3,1,test-gen code-review document-manager test-gen code-review document-manager test-gen code-review document-manager test-gen code-review document-manager test-gen code-review document-manager
54,37a8eec1,2026-03-01T11:14:21.510479+00:00,24.5,36,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
55,37a8eec1,2026-03-01T12:31:12.983063+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
56,37a8eec1,2026-03-02T02:30:50.728881+00:00,96.0,192,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review test-gen code-review test-gen code-review dependency-check document-manager dependency-check document-manager test-gen code-review dependency-check document-manager
57,37a8eec1,2026-03-02T20:20:48.877350+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
58,37a8eec1,2026-03-02T21:27:44.445447+00:00,50.6,60,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
59,37a8eec1,2026-03-03T00:02:20.340217+00:00,152.7,204,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
60,37a8eec1,2026-03-03T03:52:41.418244+00:00,41.6,96,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
61,37a8eec1,2026-03-03T12:25:10.803585+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
62,37a8eec1,2026-03-03T15:34:18.131467+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
63,37a8eec1,2026-03-03T20:49:16.035864+00:00,31.4,24,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
64,37a8eec1,2026-03-05T00:38:55.736522+00:00,17.6,48,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
65,37a8eec1,2026-03-05T02:27:38.368507+00:00,1.1,12,4,1,test-gen code-review dependency-check document-manager
66,37a8eec1,2026-03-05T05:28:01.752036+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
67,37a8eec1,2026-03-05T09:55:14.876255+00:00,15.8,24,4,1,test-gen code-review dependency-check document-manager test-gen code-review dependency-check document-manager
68,37a8eec1,2026-03-08T11:27:01.925381+00:00,2.9,11,4,1,test-gen dependency-check document-manager bug-predict
69,37a8eec1,2026-03-08T15:13:08.527989+00:00,3.3,11,4,1,test-gen dependency-check document-manager bug-predict
70,37a8eec1,2026-03-08T16:24:36.642704+00:00,3.1,11,4,1,test-gen dependency-check document-manager bug-predict
71,37a8eec1,2026-03-09T02:20:28.378997+00:00,3.1,11,4,1,test-gen dependency-check document-manager bug-predict
72,37a8eec1,2026-03-09T02:56:00.775561+00:00,25.0,22,4,1,test-gen dependency-check document-manager bug-predict test-gen dependency-check document-manager bug-predict
73,37a8eec1,2026-03-09T13:09:54.491808+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
